Language	Split	Size	Replacement	Model	Score
tur	1	500	with	Morfessor	27.294
tur	1	500	with	Seq2seq	47.444
tur	1	500	with	0-CRF	54.606
tur	1	500	with	1-CRF	65.22
tur	1	500	with	3-CRF	66.01599999999999
tur	1	500	with	2-CRF	66.176
tur	1	500	with	4-CRF	66.292
tur	2	500	with	Morfessor	27.314
tur	2	500	with	Seq2seq	42.046
tur	2	500	with	0-CRF	54.884
tur	2	500	with	4-CRF	63.65
tur	2	500	with	1-CRF	64.158
tur	2	500	with	2-CRF	64.642
tur	2	500	with	3-CRF	64.856
tur	3	500	with	Morfessor	31.272
tur	3	500	with	Seq2seq	46.566
tur	3	500	with	0-CRF	50.808
tur	3	500	with	1-CRF	65.31
tur	3	500	with	3-CRF	65.602
tur	3	500	with	2-CRF	65.978
tur	3	500	with	4-CRF	66.31
tur	4	500	with	Morfessor	29.712
tur	4	500	with	Seq2seq	52.674
tur	4	500	with	0-CRF	57.47
tur	4	500	with	4-CRF	67.622
tur	4	500	with	3-CRF	68.024
tur	4	500	with	2-CRF	68.578
tur	4	500	with	1-CRF	68.85799999999999
tur	5	500	with	Morfessor	29.594
tur	5	500	with	Seq2seq	53.384
tur	5	500	with	0-CRF	54.440000000000005
tur	5	500	with	1-CRF	64.038
tur	5	500	with	2-CRF	65.126
tur	5	500	with	3-CRF	65.30199999999999
tur	5	500	with	4-CRF	65.77
tur	6	500	with	Morfessor	27.919999999999998
tur	6	500	with	Seq2seq	45.448
tur	6	500	with	0-CRF	52.26
tur	6	500	with	2-CRF	62.508
tur	6	500	with	3-CRF	63.153999999999996
tur	6	500	with	4-CRF	63.194
tur	6	500	with	1-CRF	63.251999999999995
tur	7	500	with	Morfessor	28.088
tur	7	500	with	Seq2seq	50.153999999999996
tur	7	500	with	0-CRF	57.922
tur	7	500	with	1-CRF	68.52
tur	7	500	with	2-CRF	69.544
tur	7	500	with	4-CRF	70.308
tur	7	500	with	3-CRF	71.004
tur	8	500	with	Morfessor	28.364
tur	8	500	with	Seq2seq	47.014
tur	8	500	with	0-CRF	49.96
tur	8	500	with	4-CRF	62.298
tur	8	500	with	1-CRF	62.342
tur	8	500	with	2-CRF	63.382
tur	8	500	with	3-CRF	63.398
tur	9	500	with	Morfessor	28.656
tur	9	500	with	Seq2seq	53.498
tur	9	500	with	0-CRF	53.712
tur	9	500	with	1-CRF	68.968
tur	9	500	with	4-CRF	69.35
tur	9	500	with	2-CRF	69.776
tur	9	500	with	3-CRF	70.158
tur	10	500	with	Morfessor	30.178
tur	10	500	with	Seq2seq	47.644
tur	10	500	with	0-CRF	54.602
tur	10	500	with	1-CRF	65.02799999999999
tur	10	500	with	4-CRF	65.774
tur	10	500	with	2-CRF	66.352
tur	10	500	with	3-CRF	66.46
tur	11	500	with	Morfessor	27.592
tur	11	500	with	Seq2seq	50.752
tur	11	500	with	0-CRF	55.717999999999996
tur	11	500	with	4-CRF	66.44200000000001
tur	11	500	with	1-CRF	67.23
tur	11	500	with	2-CRF	68.05
tur	11	500	with	3-CRF	68.096
tur	12	500	with	Morfessor	28.006
tur	12	500	with	Seq2seq	49.642
tur	12	500	with	0-CRF	55.712
tur	12	500	with	2-CRF	67.03999999999999
tur	12	500	with	1-CRF	67.164
tur	12	500	with	3-CRF	67.182
tur	12	500	with	4-CRF	67.228
tur	13	500	with	Morfessor	29.46
tur	13	500	with	Seq2seq	46.786
tur	13	500	with	0-CRF	53.03
tur	13	500	with	1-CRF	63.373999999999995
tur	13	500	with	4-CRF	63.501999999999995
tur	13	500	with	2-CRF	63.867999999999995
tur	13	500	with	3-CRF	64.492
tur	14	500	with	Morfessor	27.224
tur	14	500	with	Seq2seq	43.06
tur	14	500	with	0-CRF	51.778
tur	14	500	with	2-CRF	62.972
tur	14	500	with	4-CRF	63.072
tur	14	500	with	1-CRF	63.148
tur	14	500	with	3-CRF	63.232
tur	15	500	with	Morfessor	30.080000000000002
